playerName,season,team,birdies_per_round,drive_distance,eagles,fairway_pct,gir_pct,putting_avg,scrambling_pct
Jinichiro Kozuma,2025,Korean Golf Club,95.0,308.9,6.0,54.17,63.43,1.58,57.59
Joaquin Niemann,2022,Torque GC,65.0,310.8,0.0,66.06,81.48,1.64,52.5
Joaquin Niemann,2023,Torque GC,162.0,314.1,5.0,61.33,72.22,1.63,61.54
Joaquin Niemann,2024,Torque GC,195.0,322.5,9.0,56.61,72.78,1.56,64.29
Joaquin Niemann,2025,Torque GC,196.0,330.4,5.0,59.82,73.61,1.6,62.11
Joaquin Niemann,2026,Torque GC,39.0,303.9,3.0,59.82,71.53,1.57,65.85
John Catlin,2026,Cleeks Golf Club,15.0,290.1,1.0,62.5,58.33,1.61,60.0
Jon Rahm,2024,Legion XIII,190.0,318.7,4.0,63.13,74.62,1.56,69.23
Jon Rahm,2025,Legion XIII,199.0,323.3,5.0,59.82,74.86,1.6,65.19
Jon Rahm,2026,Legion XIII,46.0,302.9,2.0,58.93,78.47,1.55,80.65
Josele Ballester,2026,Fireballs GC,35.0,314.4,1.0,42.86,77.08,1.66,54.55
Justin Harding,2022,,31.0,285.4,2.0,61.9,67.28,1.62,60.38
Kalle Samooja,2024,Cleeks Golf Club,152.0,302.4,4.0,53.75,65.83,1.61,52.85
Kevin Na,2022,Korean Golf Club,67.0,278.7,3.0,69.2,61.4,1.58,60.61
Kevin Na,2023,Korean Golf Club,152.0,292.3,6.0,65.56,66.52,1.58,63.83
Kevin Na,2024,Korean Golf Club,155.0,294.0,1.0,62.5,66.39,1.58,64.05
Kevin Na,2025,Korean Golf Club,125.0,290.1,3.0,66.12,62.68,1.62,58.02
Kevin Yuan,2022,,8.0,264.5,0.0,43.59,57.41,1.72,56.52
Kieran Vincent,2023,Smash GC,8.0,318.8,0.0,53.57,52.78,1.61,52.94
Kieran Vincent,2024,Legion XIII,135.0,316.4,7.0,55.36,64.58,1.62,52.16
Laurie Canter,2022,Cleeks Golf Club,73.0,304.9,4.0,63.23,67.46,1.63,56.91
Laurie Canter,2023,,118.0,301.3,2.0,62.88,67.03,1.63,58.7
Laurie Canter,2026,Majesticks Golf Club,32.0,292.9,1.0,65.18,72.22,1.67,50.0
Lee Westwood,2022,Majesticks Golf Club,83.0,297.3,1.0,67.01,69.31,1.59,63.79
Lee Westwood,2023,Majesticks Golf Club,149.0,298.1,3.0,58.03,64.18,1.6,50.61
Lee Westwood,2024,Majesticks Golf Club,128.0,298.2,5.0,53.04,65.83,1.63,58.94
Lee Westwood,2025,Majesticks Golf Club,137.0,304.8,5.0,59.29,63.06,1.6,59.4
Louis Oosthuizen,2022,Southern Guards GC,85.0,294.9,0.0,69.07,69.84,1.62,61.4
Louis Oosthuizen,2023,Southern Guards GC,156.0,296.2,5.0,67.59,70.66,1.61,61.17
Louis Oosthuizen,2024,Southern Guards GC,174.0,300.5,3.0,66.92,67.84,1.53,72.73
Louis Oosthuizen,2025,Southern Guards GC,139.0,297.9,3.0,66.43,66.94,1.61,62.18
Louis Oosthuizen,2026,Southern Guards GC,33.0,281.6,0.0,59.82,72.22,1.6,67.5
Lucas Herbert,2024,Ripper GC,176.0,307.3,5.0,51.43,62.92,1.53,58.43
Lucas Herbert,2025,Ripper GC,157.0,318.4,10.0,54.82,62.92,1.55,62.17
Lucas Herbert,2026,Ripper GC,48.0,303.4,1.0,50.89,70.14,1.5,65.12
Luis Masaveu,2025,RangeGoats GC,88.0,312.6,4.0,50.53,65.84,1.66,50.6
Luis Masaveu,2026,Fireballs GC,35.0,287.9,2.0,51.79,70.83,1.6,57.14
Marc Leishman,2022,,42.0,299.5,0.0,63.03,71.76,1.68,59.02
Marc Leishman,2023,Ripper GC,171.0,303.0,4.0,62.98,71.37,1.62,60.2
Marc Leishman,2024,Ripper GC,151.0,301.5,3.0,55.83,69.15,1.57,68.72
Marc Leishman,2025,Ripper GC,147.0,307.8,6.0,56.07,66.39,1.59,59.5
Marc Leishman,2026,Ripper GC,41.0,297.5,0.0,53.57,73.61,1.57,68.42
Martin Kaymer,2022,Cleeks Golf Club,75.0,293.7,3.0,61.37,65.56,1.61,58.06
Martin Kaymer,2023,Cleeks Golf Club,100.0,284.2,2.0,49.64,62.41,1.6,56.65
Martin Kaymer,2024,Cleeks Golf Club,147.0,291.8,3.0,58.39,65.14,1.59,58.57
Martin Kaymer,2025,Cleeks Golf Club,142.0,297.0,2.0,56.79,64.44,1.59,55.86
Martin Kaymer,2026,Cleeks Golf Club,15.0,273.6,0.0,30.36,73.61,1.67,57.89
Matt Jones,2022,,71.0,305.4,1.0,65.98,69.58,1.63,59.13
Matt Jones,2023,Ripper GC,154.0,301.9,1.0,54.88,64.1,1.58,63.1
Matt Jones,2024,Ripper GC,151.0,298.5,4.0,52.14,63.61,1.56,64.5
Matt Jones,2025,Ripper GC,126.0,308.5,7.0,49.11,61.81,1.61,58.18
Matthew Wolff,2022,,65.0,323.5,4.0,62.3,72.53,1.63,70.79
Matthew Wolff,2023,Smash GC,149.0,309.9,6.0,55.95,65.5,1.63,53.39
Matthew Wolff,2024,RangeGoats GC,156.0,322.3,9.0,56.58,65.64,1.58,61.28
Matthew Wolff,2025,RangeGoats GC,104.0,321.1,7.0,53.69,61.65,1.6,55.14
Matthew Wolff,2026,RangeGoats GC,37.0,291.0,0.0,44.64,76.39,1.67,55.88
Michael La Sasso,2026,HyFlyers GC,35.0,293.4,0.0,50.89,72.22,1.64,62.5
Miguel Tabuena,2026,Wild Card,31.0,276.4,2.0,52.68,65.97,1.58,61.22
Minkyu Kim,2026,Korean Golf Club,35.0,286.7,3.0,54.46,56.94,1.44,61.29
Mito Pereira,2023,Torque GC,166.0,311.4,6.0,64.64,73.79,1.64,62.5
Mito Pereira,2024,Torque GC,152.0,309.6,4.0,50.54,67.64,1.61,53.65
Mito Pereira,2025,Torque GC,123.0,307.5,2.0,48.93,61.11,1.62,52.5
Oliver Bekker,2022,,8.0,287.5,2.0,64.1,70.37,1.67,50.0
Oliver Fisher,2022,,7.0,270.2,0.0,38.46,55.56,1.74,37.5
Ollie Schniederjans,2026,HyFlyers GC,13.0,289.8,1.0,48.21,59.72,1.53,58.62
Pablo Larrazabal,2022,Cleeks Golf Club,11.0,269.3,0.0,56.41,64.81,1.67,36.84
Pat Perez,2022,,59.0,286.6,3.0,68.25,66.05,1.64,55.45
Pat Perez,2023,,153.0,292.1,7.0,64.09,66.38,1.6,58.05
Pat Perez,2024,,130.0,291.3,2.0,63.57,63.75,1.6,60.15
Patrick Reed,2022,,84.0,295.1,5.0,64.29,66.05,1.52,64.55
Patrick Reed,2023,,167.0,297.7,4.0,58.38,67.66,1.56,69.16
Patrick Reed,2024,,165.0,303.7,1.0,58.04,65.69,1.54,69.23
Patrick Reed,2025,,156.0,310.4,4.0,58.75,69.31,1.6,65.16
Paul Casey,2022,Crushers GC,63.0,310.8,1.0,71.01,72.59,1.61,68.92
Paul Casey,2023,Crushers GC,129.0,302.9,2.0,64.34,73.17,1.67,62.72
Paul Casey,2024,Crushers GC,173.0,305.4,2.0,66.43,72.64,1.6,68.53
Paul Casey,2025,Crushers GC,156.0,304.1,4.0,65.89,70.69,1.61,63.03
Paul Casey,2026,Crushers GC,33.0,291.6,0.0,52.68,75.69,1.68,62.86
Peter Uihlein,2022,Smash GC,93.0,313.4,3.0,52.23,67.46,1.61,51.22
Peter Uihlein,2023,,171.0,322.5,6.0,48.8,68.38,1.56,58.11
Peter Uihlein,2024,RangeGoats GC,165.0,314.5,0.0,35.0,64.03,1.55,59.85
Peter Uihlein,2025,RangeGoats GC,155.0,324.6,7.0,40.89,62.64,1.56,54.65
