team,year,events,wins,podiums,avg_rank,avg_score,best_rank,worst_rank,win_rate,podium_rate,est_sg_total_mean,est_sg_total_std,est_sg_total_min,est_sg_total_max,est_sg_ott_mean,est_sg_ott_std,est_sg_ott_min,est_sg_ott_max,est_sg_app_mean,est_sg_app_std,est_sg_app_min,est_sg_app_max,est_sg_atg_mean,est_sg_atg_std,est_sg_atg_min,est_sg_atg_max,est_sg_putt_mean,est_sg_putt_std,est_sg_putt_min,est_sg_putt_max,star_index,roster_size,win_tier
Ripper GC,2024,13,3,6,5.31,-17.46,1,12,0.231,0.462,0.37452361749999996,0.2821494509129105,0.04148127,0.7648664,-0.09314828225,0.063384013108806,-0.14900362,0.014000061,-0.045170132499999995,0.17771351667202587,-0.2503221,0.16449521,0.1493517045,0.06159283986396204,0.053036958,0.21037997,0.35971303499999996,0.0615478043729821,0.2697385,0.42667124,0.3903427825,4.0,3+ wins
Ripper GC,2025,13,1,4,6.46,-9.31,1,13,0.077,0.308,0.17259353900000002,0.2952123271875949,-0.27977115,0.45206743,0.12033110074999999,0.11062014006730872,-0.056165367,0.23161633,-0.19170261,0.09820090258089739,-0.34374112,-0.08576462,0.0701159145,0.12324195439913138,-0.06310908,0.24541552,0.24635729750000002,0.08695976770517685,0.13517767,0.3358519,0.279473891,4.0,1–2 wins
Ripper GC,2026,2,0,2,2.5,-20.5,2,3,0.0,1.0,1.24142995,0.16267158385686942,1.0889388,1.4784753,-0.07916351825,0.21502577277229568,-0.34896556,0.24358651,0.485214485,0.1181410173592799,0.3344905,0.651329,0.31732246249999996,0.04879628725868104,0.27282265,0.3974776,0.41095701749999997,0.14839382321204078,0.26470962,0.5981572,0.23704535000000004,4.0,0 wins
Smash GC,2022,5,2,2,4.2,-11.8,1,7,0.4,0.4,0.111094576,0.33116130944524125,-0.31244624,0.48056564,0.290594295,0.11520697393151087,0.14254479,0.42876962,0.08031786299999999,0.1391656864389402,-0.03891956,0.3128492,-0.0920657515,0.14137210539924647,-0.31044185,0.08476951,-0.19954178849999998,0.1711715762697578,-0.35303405,0.072516836,0.369471064,4.0,1–2 wins
Smash GC,2023,13,0,1,8.31,-6.0,3,11,0.0,0.077,0.042977962499999994,0.5564483821420817,-0.71222895,0.6116163,0.21623879937499998,0.1388221471450993,-0.0020698425,0.36753416,0.0488200275,0.22190311070852628,-0.19585678,0.2987279,-0.049007487499999995,0.09070136929954548,-0.18784067,0.042352095,-0.1695400135,0.12679050078718304,-0.35726207,-0.0428678,0.5686383375,4.0,0 wins
Smash GC,2024,13,2,4,6.31,-17.38,1,12,0.154,0.308,0.272470165,0.20937201428085606,0.029906856,0.50541556,0.145918010445,0.11722896187935476,5.353178e-05,0.30595043,0.09258713500000001,0.15382261646529885,-0.17135753,0.214685,-0.008098318499999998,0.0900257200670084,-0.10919549,0.13116215,0.047932303999999995,0.13847197033396239,-0.1819897,0.17060085,0.232945395,4.0,1–2 wins
Smash GC,2025,13,0,3,7.85,-6.62,2,13,0.0,0.231,0.05852046625000001,0.16297358840522802,-0.14331858,0.28872302,0.0800093175,0.09784891816120615,-0.06440349,0.18156268,-0.14111052275,0.09030813958956477,-0.22136198,0.011411089,-0.044609802000000004,0.04335517377785449,-0.09981466,0.004575842,0.13375514875,0.04748114877187924,0.07951111,0.19730523,0.23020255374999998,4.0,0 wins
Smash GC,2026,2,0,0,10.0,-8.5,7,13,0.0,0.0,1.0663475165,0.6929394609586034,-0.113434434,1.5703944,-0.33341865499999995,0.10173924795215376,-0.46114793,-0.17898376,0.6938933125000001,0.11764474991218592,0.4903962,0.76797974,0.23643647799999998,0.13568648183888848,0.013777072,0.35822642,0.30345134749999997,0.43656629799650065,-0.4335487,0.70767736,0.5040468835,4.0,0 wins
Southern Guards GC,2022,5,1,2,4.4,-14.8,1,8,0.2,0.4,-0.09104971378000001,0.36836302562928835,-0.55647475,0.31631547,0.1272639,0.08071886153023294,0.03224159,0.23497263,0.07261308120000001,0.19920131016238943,-0.29932767,0.2736849,-0.0755970322,0.08269596580287429,-0.1836033,0.059518747,-0.15747044,0.13841093775111996,-0.42974937,-0.06164453,0.40736518378,5.0,1–2 wins
Southern Guards GC,2023,13,1,5,5.54,-13.69,1,11,0.077,0.385,0.3754866725,0.13158548493879738,0.18546748,0.49927062,0.25731088,0.10282935339116428,0.13429053,0.40180528,0.0859651626,0.06127431701926726,-0.0017606936,0.16396588,0.039494904,0.04095688468533057,-0.02578996,0.081382774,0.005043937849999999,0.033717700618188746,-0.04907082,0.04012309,0.12378394749999999,4.0,1–2 wins
Southern Guards GC,2024,13,2,4,6.92,-14.62,1,13,0.154,0.308,0.34285324825,0.37093008174760705,-0.0917907,0.76252884,0.170784935,0.1977292351043733,-0.06075683,0.47677356,0.024449810750000002,0.0985699520029727,-0.12727012,0.14551452,0.07234429750000002,0.11673354728879921,-0.11596277,0.20334078,0.11678470349999999,0.23927704493472723,-0.25860155,0.40065873,0.41967559174999997,4.0,1–2 wins
Southern Guards GC,2025,13,1,3,5.77,-12.69,1,11,0.077,0.231,0.20286716074999997,0.17465762372870272,-0.014038537,0.41928434,0.209146277325,0.2297568726279108,-0.0063911807,0.5932147,-0.06159959175,0.07439545706412283,-0.14418183,0.059141293,0.003750564,0.06973546648647888,-0.09043012,0.10477324,0.054522605249999995,0.15605296418390194,-0.072581664,0.31942812,0.21641717925,4.0,1–2 wins
Southern Guards GC,2026,2,1,1,3.0,-19.5,1,5,0.5,0.5,0.9694067675,0.3805462852977088,0.49920687,1.4907663,-0.17759600250000002,0.08610749115731348,-0.30559373,-0.0847089,0.5815373625,0.2452399988624022,0.27555525,0.9495972,0.339969765,0.11247744799742089,0.20618197,0.5180615,0.23591422625,0.12621440765386144,0.123684585,0.45019174,0.5213595325,4.0,1–2 wins
Torque GC,2022,5,0,0,5.0,-5.2,4,7,0.0,0.0,-0.6468532171428573,0.8015785514522853,-2.2686782,0.6453518,-0.19272648285714286,0.5412960857752674,-1.2450919,0.5741859,-0.3823619991428572,0.4966523599881259,-1.2793573,0.5029179,-0.04680633285714286,0.16175632104384804,-0.27441543,0.27619368,-0.07949222857142857,0.31024764069262745,-0.46358192,0.27467337,1.2922050171428574,7.0,0 wins
Torque GC,2023,13,4,7,3.92,-17.77,1,10,0.308,0.538,0.41230330333333337,0.23707520500162396,0.07851925,0.60654736,0.33942306000000005,0.17505486307327617,0.09480512,0.49471468,0.14000361333333336,0.2610944053872159,-0.20714432,0.42253476,0.0010589586666666677,0.05092635730841168,-0.057240013,0.06683034,-0.06951869333333334,0.18033242888004186,-0.27740225,0.16236056,0.1942440566666666,3.0,3+ wins
Torque GC,2024,13,0,5,4.38,-20.77,3,10,0.0,0.385,0.48150135333333327,0.48086079964671813,-0.09074668,1.0858074,0.2968737833333333,0.1746107260955749,0.09123925,0.5180937,0.175091381,0.14880275238943294,0.025485657,0.37806204,-0.019444911999999998,0.0919246915880561,-0.14942072,0.04776569,0.041431230000000006,0.07925507242585075,-0.037733365,0.1497287,0.6043060466666668,3.0,0 wins
Torque GC,2025,13,2,6,4.85,-14.92,1,12,0.154,0.462,0.04433776666666667,0.5221969880302836,-0.6800373,0.53100467,0.32896440666666665,0.35907218190238777,-0.0783345,0.7952542,-0.09404149666666665,0.3085982239515421,-0.5272572,0.16830924,-0.17523735333333332,0.05702970292177246,-0.22443892,-0.09529233,0.066805125,0.03765730996114632,0.01916435,0.111238055,0.4866669033333333,3.0,1–2 wins
Torque GC,2026,2,0,1,3.5,-18.5,2,5,0.0,0.5,1.1292743766666666,0.5429198038070272,0.69939446,1.8951638,-0.07868020666666667,0.14909157868138748,-0.22233866,0.1268058,0.5622690233333333,0.1502430951383005,0.40520772,0.76472825,0.23085806666666667,0.077504133614667,0.12125067,0.28566793,0.27924827999999996,0.2584969524904235,0.05805548,0.6419088,0.7658894233333333,3.0,0 wins
Wild Card,2026,2,1,1,6.5,-15.5,1,12,0.5,0.5,0.867971325,0.4959256103728027,0.1507943,1.5085888,-0.32125559000000004,0.26552172079629355,-0.67410225,0.07359695,0.41579499750000004,0.10985249508388972,0.30727535,0.5489841,0.27411358750000003,0.08175980097245081,0.17467129,0.38133138,0.46401148499999995,0.2516678844422281,0.2194333,0.8412042,0.6406174750000001,4.0,1–2 wins
